grid,value,label
1320024561,present,NER_O
1320024561,Luetfullah Goektas,NER_Person
1320024561,tourism,NER_O
1320024561,centre,NER_O
1320024561,letter,NER_O
1320024561,member,NER_O
1320024561,he,NER_O
1320024561,credential,NER_O
1320024561,Turkey,NER_Location
1320024561,ambassador,NER_O
1320024561,manager,NER_O
1320024561,youth,NER_O
1320024561,anniversary,NER_O
1320024561,delegation,NER_O
1320024561,member,NER_O
1320024561,Cyril,NER_Person
1320024561,th,NER_O
1320024561,Slovak Republic,NER_Location
1320024561,Czech Republic,NER_Location
1320024561,morning,NER_O
1320024561,1150,NER_Date
1320024561,parliament,NER_O
1320024561,father,NER_O
1320024561,death,NER_O
1320024561,holy,NER_O
1320024561,saint,NER_O
1320024561,audience,NER_O
1320024561,receive,NER_O
1320024561,occasion,NER_O
1320034249,tell,NER_O
1320034249,court,NER_O
1320034249,because,NER_O
1320034249,since,NER_O
1320034249,press.according,NER_O
1320034249,Ziyadha,NER_Person
1320034249,assault,NER_O
1320034249,drug,NER_O
1320034249,Ibrahim Ali.hah,NER_Person
1320034249,judge,NER_O
1320034249,remain,NER_O
1320034249,he,NER_O
1320034249,she,NER_O
1320034249,custody,NER_O
1320034249,keep,NER_O
1320034249,after,NER_O
1320034249,physically,NER_O
1320034249,police,NER_O
1320034249,arrest.before,NER_O
1320034249,worsen,NER_O
1320034249,preside,NER_O
1320034249,sexually,NER_O
1320034249,separate,NER_O
1320034249,condition,NER_O
1320034249,injury,NER_O
1320034249,last,NER_O
1320034249,doctor,NER_O
1320034249,couple,NER_O
1320034249,over,NER_O
1320034249,pass,NER_O
1320034249,victim,NER_O
1320034249,Adam Arif,NER_Person
1320034249,away,NER_O
1320034249,transfer,NER_O
1320034249,month,NER_O
1320034249,secret,NER_O
1320034249,family,NER_O
1320034249,Shah,NER_Person
1320034249,case,NER_O
1320034249,India,NER_Location
1320034249,close,NER_O
1320034249,40-year-old,NER_O
1320034249,examination,NER_O
1320034249,after,NER_O
1320034249,abuse.the,NER_O
1320034249,male.the,NER_O
1320034249,August 2016,NER_Date
1320034249,find,NER_O
1320034249,husband,NER_O
1320034249,begin,NER_O
1320034249,postmortem,NER_O
1320034249,sign,NER_O
1320034249,hospitalise,NER_O
1320034249,conduct,NER_O
1320034249,proceedings,NER_O
1320034249,public,NER_O
1320034249,arrest,NER_O
1320034249,trial,NER_O
1320034249,Ziyadha,NER_Person
1320034249,she,NER_O
1320034249,study,NER_O
1320034249,hospital,NER_O
1320034249,sexual,NER_O
1320034249,cause,NER_O
1320034249,between,NER_O
1320034249,report,NER_O
1320034249,seek,NER_O
1320034249,claimed.according,NER_O
1320034249,doctor,NER_O
1320034249,death,NER_O
1320034249,call,NER_O
1320034249,about,NER_O
1320034249,placard,NER_O
1320034249,domestic,NER_O
1320034249,rape,NER_O
1320034249,failure,NER_O
1320034249,suffer,NER_O
1320034249,prompt,NER_O
1320034249,physical,NER_O
1320034249,recommend,NER_O
1320034249,practice,NER_O
1320034249,travel,NER_O
1320034249,victim,NER_O
1320034249,Thinadhoo,NER_Location
1320034249,shock,NER_O
1320034249,age,NER_O
1320034249,treatment,NER_O
1320034249,march,NER_O
1320034249,pneumonia,NER_O
1320034249,gender,NER_O
1320034249,take,NER_O
1320034249,police,NER_O
1320034249,ministry,NER_O
1320034249,against,NER_O
1320034249,Indira Gandhi Memorial,NER_Location
1320034249,women.ziyadha,NER_O
1320034249,Maldivian,NER_Misc
1320034249,mother,NER_O
1320034249,die,NER_O
1320034249,woman,NER_O
1320034249,15-49,NER_O
1320034249,find,NER_O
1320034249,immediately.the,NER_O
1320034249,hospitalise,NER_O
1320034249,capital,NER_O
1320034249,act.a,NER_O
1320034249,kidney,NER_O
1320034249,alert,NER_O
1320034249,debate,NER_O
1320034249,after,NER_O
1320034249,violence,NER_O
1320034249,private,NER_O
1320034249,implementation,NER_O
1320034249,day,NER_O
1320034249,Family Protection Authority,NER_Organization
